person_age,person_education,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,loan_status,person_gender_male,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,previous_loan_defaults_on_file_Yes
22.0,4,-0.10408960648923377,0,4.024953432115115,16.02,0.49,3.0,-1.41981407913996,1,False,False,False,True,False,False,False,True,False,False
21.0,3,-0.8460046673443743,0,-1.3592093328323431,11.14,0.08,2.0,-2.5499747959840193,0,False,False,True,False,True,False,False,False,False,True
25.0,3,-0.8440648900927837,3,-0.6465995551187089,12.87,0.44,3.0,0.047412114657590404,1,False,False,False,False,False,False,True,False,False,False
23.0,1,-0.007038571561898738,0,4.024953432115115,15.23,0.44,2.0,0.8405073545481583,1,False,False,False,True,False,False,True,False,False,False
24.0,4,-0.1763711780501048,1,4.024953432115115,14.27,0.53,4.0,-0.9241295542083552,1,True,False,False,True,False,False,True,False,False,False
21.0,3,-0.8376860072077456,0,-1.1216727402611317,7.14,0.19,2.0,-1.9948081280606218,1,False,False,True,False,False,False,False,False,True,False
26.0,1,0.16353748188245512,1,4.024953432115115,12.42,0.37,3.0,1.3560192604770274,1,False,False,False,True,True,False,False,False,False,False
24.0,3,0.18938874410076767,5,4.024953432115115,11.11,0.37,4.0,-0.9439569352056194,1,False,False,False,True,False,False,True,False,False,False
24.0,0,0.25322731082939526,3,4.024953432115115,8.9,0.35,2.0,-1.7568795560934516,1,False,False,False,True,False,False,False,True,False,False
21.0,3,-0.8403221147547789,0,-1.2641946958038586,14.74,0.13,3.0,0.1465490196439114,1,False,False,True,False,False,False,False,False,True,False
22.0,3,0.28183902529035587,0,4.024953432115115,10.37,0.34,4.0,-0.23017121930410836,1,False,False,False,True,False,False,False,False,True,False
21.0,0,-0.8356716231387862,0,-0.8049572834995165,8.63,0.34,2.0,0.3646502106138175,1,False,False,True,False,False,True,False,False,False,False
23.0,1,0.429498351332906,3,4.024953432115115,7.9,0.3,2.0,-1.1818855071727898,1,True,False,False,True,False,False,False,False,True,False
26.0,4,0.6266219972910152,0,4.024953432115115,18.39,0.27,4.0,1.4948109274578767,1,True,False,False,True,True,False,False,False,False,False
23.0,0,0.7296415776078595,0,4.024953432115115,7.9,0.25,4.0,-0.9836116972001478,0,False,False,False,True,True,False,False,False,False,False
23.0,4,6.473036026767572,5,3.233164790211077,10.65,0.05,3.0,0.7413704495618373,0,False,False,False,False,False,False,False,False,False,True
23.0,1,0.8035644991508457,0,4.024953432115115,7.9,0.24,4.0,0.602578782580988,0,True,False,False,True,True,False,False,False,False,False
23.0,3,0.3860896180937866,0,4.024953432115115,20.0,0.31,4.0,1.217227593496178,1,False,False,False,True,False,False,True,False,False,False
23.0,1,0.700171884747157,0,4.024953432115115,18.25,0.26,4.0,1.514638308455141,1,True,False,False,True,False,False,False,False,False,False
24.0,4,-0.821123293751857,1,-1.2404410365467373,10.99,0.12,2.0,0.919816878537215,1,False,False,False,False,True,False,False,False,False,False
25.0,1,1.434924691134886,0,4.024953432115115,7.49,0.18,4.0,1.018953783523536,0,True,False,False,True,False,False,False,False,True,True
25.0,3,1.0628107550380985,4,3.9932818864389534,16.77,0.21,2.0,0.5827514015837237,0,True,False,False,True,False,False,False,True,False,False
22.0,4,-0.013230937403514734,0,3.8665957037343075,17.58,0.43,4.0,1.1577454505043854,1,False,False,False,True,True,False,False,False,False,False
24.0,1,-0.8263084675589932,0,-1.2800304686419393,7.29,0.11,3.0,-0.6465462202466565,0,False,False,True,False,False,False,False,True,False,True
22.0,1,0.21264120218073135,1,3.858677817315267,14.54,0.35,4.0,1.1577454505043854,1,True,False,False,True,False,False,False,True,False,False
24.0,3,0.02641015155847682,0,3.7082379753534997,12.68,0.4,3.0,0.42413235360561014,1,False,False,False,True,False,True,False,False,False,False
21.0,0,-0.8210611214040496,0,-0.7930804538709559,17.74,0.32,3.0,-0.13103431431778736,1,False,False,False,False,False,False,False,False,True,False
23.0,3,-0.8209989490562423,0,-1.29586624148002,9.32,0.1,3.0,-0.5077545532658071,0,True,False,True,False,False,False,False,True,False,False
24.0,1,-0.015730265785371792,1,3.629059111163096,9.99,0.41,3.0,1.3361918794797631,1,False,False,False,True,False,True,False,False,False,False
21.0,1,-0.812356992711015,0,-0.8841361476899203,12.84,0.27,2.0,-1.5784331271180738,1,False,True,False,False,True,False,False,False,False,False
21.0,3,-0.8139734737540072,0,-1.2008516044515354,11.12,0.13,3.0,-0.8646474112165626,1,True,False,True,False,False,False,True,False,False,False
25.0,1,0.8024702658294357,1,3.5498802469726924,6.62,0.22,2.0,-0.9241295542083552,0,True,False,False,True,False,False,False,False,True,True
26.0,1,0.4268249403771882,2,3.399440405010925,14.17,0.27,3.0,0.9594716405317435,1,True,False,False,True,False,True,False,False,False,False
25.0,3,3.5785899401249917,3,2.322607852021433,13.85,0.07,3.0,-1.300849793156375,0,False,False,False,True,False,False,False,False,False,True
26.0,0,3.491063708881749,1,-0.2823767798428515,13.49,0.02,4.0,0.7215430685645731,0,False,False,False,False,False,False,True,False,False,False
21.0,0,-0.8103426086420557,0,-1.1216727402611317,7.51,0.17,4.0,-0.6465462202466565,1,True,False,True,False,True,False,False,False,False,False
22.0,1,-0.2667324683533647,0,3.233164790211077,18.39,0.51,2.0,-0.5275819342630713,1,False,False,False,True,True,False,False,False,False,False
24.0,3,-0.028512900494571076,3,3.233164790211077,14.54,0.38,3.0,-1.003439078197412,1,True,False,False,True,False,False,False,False,False,False
25.0,1,0.13013849664032548,4,3.233164790211077,16.89,0.33,4.0,0.32499544861928914,1,True,False,False,True,False,True,False,False,False,False
23.0,3,0.0807239146030123,0,3.233164790211077,11.01,0.35,4.0,-0.6068914582521281,1,False,False,False,True,False,False,False,False,False,False
26.0,1,-0.05988506719817982,5,3.233164790211077,17.99,0.4,2.0,-0.3293081242904293,1,True,False,False,True,False,False,True,False,False,False
24.0,3,-0.8111881525722362,0,-1.1216727402611317,12.69,0.17,3.0,-0.031897409331466384,1,False,False,True,False,False,False,False,False,True,False
26.0,1,3.4937619887765896,5,1.649587506403001,7.88,0.06,4.0,1.018953783523536,0,True,False,False,False,False,False,False,False,True,True
23.0,3,3.496920344045205,0,2.322607852021433,19.41,0.07,2.0,0.0870668766521188,0,True,False,True,False,True,False,False,False,False,True
26.0,4,3.4861396589354037,5,0.06601022259492521,10.38,0.03,4.0,0.32499544861928914,0,True,False,True,False,False,True,False,False,False,False
26.0,1,3.4898326963951622,5,2.441376148307039,15.33,0.07,3.0,1.2370549744934423,0,True,False,False,False,True,False,False,False,False,True
25.0,1,3.493152699768077,2,1.332872049641386,16.45,0.05,3.0,-0.24999860030137255,0,False,False,False,False,False,True,False,False,False,False
26.0,1,0.22271312252552847,2,3.233164790211077,7.49,0.31,3.0,-0.21034383830684417,1,True,False,False,True,False,False,False,True,False,False
22.0,3,0.006452827912304786,0,3.233164790211077,12.69,0.37,3.0,0.24568592463023237,1,False,False,False,True,False,False,True,False,False,False
26.0,4,0.34366320795002403,2,3.233164790211077,6.62,0.28,3.0,0.42413235360561014,1,True,False,False,True,False,False,False,False,False,False
24.0,1,0.1781852870258761,2,3.233164790211077,11.01,0.32,4.0,-0.17068907631231575,1,False,False,False,True,False,False,False,False,False,False
23.0,3,0.17695427453928977,1,3.233164790211077,18.62,0.32,3.0,-1.2413676501645823,1,True,False,False,True,False,False,False,False,False,False
23.0,1,0.3834037726685074,3,3.233164790211077,15.23,0.27,3.0,0.305168067622025,1,True,False,False,True,False,False,False,True,False,False
23.0,0,0.45921673358483817,0,3.233164790211077,10.65,0.26,2.0,0.38447759161108175,1,False,False,False,True,False,False,False,False,True,False
25.0,1,0.8040867468724278,3,3.233164790211077,7.9,0.21,4.0,-1.4594688411344885,0,True,False,False,True,True,False,False,False,False,False
26.0,3,3.1933452041712838,7,0.06601022259492521,15.96,0.03,3.0,-0.19051645730957995,0,True,False,False,True,False,False,False,True,False,True
26.0,0,3.148991451245492,2,1.649587506403001,11.48,0.06,3.0,-0.6068914582521281,0,True,False,False,True,False,False,False,False,True,True
23.0,1,3.146914894828725,1,4.024953432115115,11.01,0.1,4.0,-0.4680997912712787,0,True,False,True,False,False,False,False,True,False,False
25.0,4,0.9260440243314031,1,3.233164790211077,7.29,0.19,4.0,-1.1818855071727898,0,True,False,False,True,False,False,False,True,False,True
24.0,0,-0.8093602855466989,1,-1.2404410365467373,11.01,0.11,3.0,-0.031897409331466384,0,True,False,True,False,False,False,False,False,True,True
21.0,1,0.9701242189268422,0,3.233164790211077,5.99,0.19,4.0,-0.19051645730957995,0,False,False,False,True,False,False,False,False,True,True
22.0,1,3.11750737431583,0,0.3827256793565404,11.58,0.04,2.0,-0.6068914582521281,0,False,False,True,False,False,False,False,False,True,True
26.0,3,2.93636202174422,6,0.06601022259492521,11.01,0.03,4.0,-1.0629212211892045,1,False,False,False,False,True,False,False,False,False,False
25.0,0,2.3296220794919056,0,2.441376148307039,15.7,0.09,2.0,-1.003439078197412,1,False,False,False,False,False,False,True,False,False,False
22.0,4,0.060580073913418096,0,3.0906428346683503,15.99,0.34,3.0,1.3361918794797631,1,True,False,False,True,True,False,False,False,False,False
22.0,0,-0.8120461309719781,0,-1.2800304686419393,14.84,0.1,3.0,1.098263307512593,0,True,False,False,False,True,False,False,False,False,False
26.0,1,2.894507597200285,3,2.916449333449462,10.99,0.09,3.0,-0.5077545532658071,0,True,False,True,False,False,True,False,False,False,True
25.0,1,2.8802328261437085,0,1.649587506403001,14.42,0.06,2.0,0.5629240205864595,0,False,False,False,False,False,True,False,False,False,True
24.0,3,2.817376582510438,5,0.002667131242602181,6.99,0.03,2.0,-1.399986698142696,0,True,False,False,False,True,False,False,False,False,True
25.0,1,2.745741603366764,0,2.441376148307039,13.49,0.08,4.0,0.6224061635782521,0,False,False,False,True,False,False,True,False,False,True
25.0,3,-0.8101933950073179,1,-1.0424938760707279,11.01,0.2,3.0,-1.3603319361481676,1,True,False,True,False,False,False,True,False,False,False
22.0,0,-0.14022417503488854,0,2.916449333449462,11.01,0.41,2.0,-0.6862009822411849,1,True,False,False,True,False,False,True,False,False,False
21.0,3,-0.8083903969209036,0,-1.0424938760707279,13.61,0.2,3.0,-1.499123603129017,1,False,False,True,False,True,False,False,False,False,False
23.0,0,-0.014126219211941142,0,2.916449333449462,7.9,0.35,2.0,0.8801621165426867,1,False,False,False,True,True,False,False,False,False,False
26.0,1,0.2777232158655067,4,2.916449333449462,7.49,0.27,3.0,1.1379180695071212,1,True,False,False,True,False,False,False,False,True,False
26.0,0,-0.8093602855466989,1,-0.5515849180902244,7.51,0.4,3.0,-0.6663736012439206,1,True,False,True,False,True,False,False,False,False,False
22.0,3,0.32636686079000826,0,2.916449333449462,9.91,0.26,3.0,-0.5672366962575996,1,True,False,False,True,False,False,False,False,True,False
21.0,1,-0.8090742927467849,0,-0.8524646020137587,13.48,0.28,4.0,0.602578782580988,1,False,False,True,False,False,False,False,True,False,False
22.0,1,-0.8068360882257188,3,-0.7653678514043146,7.14,0.31,2.0,-0.6267188392493923,1,True,False,True,False,False,False,False,False,False,False
24.0,3,0.248850377543755,1,2.916449333449462,15.99,0.28,4.0,0.027584733660326207,1,True,False,False,True,False,False,False,False,True,False
24.0,1,2.7434412264978905,2,1.332872049641386,12.98,0.06,3.0,0.7611978305591015,0,True,False,False,True,True,False,False,False,False,False
144.0,1,2.739275679194795,125,-0.7574499649852742,13.57,0.02,3.0,3.1008287882362766,0,True,False,False,True,False,False,False,False,True,False
25.0,1,0.5066169315531919,1,2.916449333449462,12.69,0.23,3.0,-0.21034383830684417,0,False,False,False,True,False,False,False,False,False,False
26.0,0,0.6596852518549849,1,2.916449333449462,8.9,0.21,2.0,-1.8758438420770367,0,True,False,False,True,True,False,False,False,False,True
26.0,1,-0.805928371947731,0,-1.0900011945849701,11.01,0.17,4.0,-0.9043021732110911,1,True,False,True,False,False,False,False,False,False,False
22.0,4,0.6283503885600605,0,2.916449333449462,11.01,0.21,4.0,0.9991264025262718,1,True,False,False,True,True,False,False,False,False,False
23.0,0,1.2682779300719593,0,2.916449333449462,11.11,0.15,2.0,0.027584733660326207,0,True,False,False,True,False,False,False,False,False,True
24.0,1,0.04394275364016066,3,2.853106242097139,11.01,0.33,2.0,1.1379180695071212,1,False,False,False,True,False,True,False,False,False,False
21.0,1,-0.8073085980690551,0,-1.002904443975526,15.68,0.21,3.0,-2.2723914620223207,1,False,False,False,False,False,False,False,False,False,False
22.0,1,0.061226666330614944,0,2.837270469259058,13.06,0.32,3.0,-0.9836116972001478,1,False,False,False,True,True,False,False,False,False,False
22.0,0,2.5936804750994504,2,2.441376148307039,11.01,0.09,2.0,-0.30948074329316516,0,True,False,True,False,False,False,False,True,False,True
26.0,0,0.10886311922063678,4,2.766009491487695,15.62,0.3,2.0,0.7017156875673088,1,True,False,False,True,False,False,False,False,True,False
24.0,4,0.2510512786561366,2,2.7580916050686546,13.49,0.27,2.0,0.8008525925536298,1,True,False,False,True,False,False,False,True,False,False
24.0,3,0.10732124499501353,3,2.7580916050686546,11.01,0.3,3.0,1.4551561654633485,1,True,False,False,True,False,False,False,False,True,False
23.0,3,-0.05502318959964196,1,2.599733876687847,11.71,0.34,2.0,-1.9154986040715651,1,False,False,False,True,False,False,True,False,False,False
23.0,0,0.8054172351155059,0,2.5363907853355236,12.69,0.18,3.0,-1.499123603129017,0,True,False,False,True,True,False,False,False,False,True
24.0,1,-0.8006685913232259,1,-1.2641946958038586,13.57,0.1,3.0,1.118090688509857,0,False,False,True,False,False,False,True,False,False,True
22.0,1,-0.0893796289980054,3,2.5165960692879223,10.99,0.35,3.0,0.9594716405317435,1,True,False,False,True,False,False,False,False,True,False
25.0,4,2.501590793527145,4,1.649587506403001,14.27,0.07,4.0,-0.19051645730957995,0,True,False,False,False,False,False,True,False,False,True
24.0,0,2.50499783818699,0,1.649587506403001,8.88,0.07,4.0,-0.7456831252329774,0,False,False,True,False,False,True,False,False,False,True
26.0,1,2.505209224169535,1,1.902959871812293,12.18,0.08,3.0,-0.9637843162028836,0,True,False,False,False,False,True,False,False,False,True
25.0,1,2.309963183115209,4,0.3668899065184596,14.42,0.04,3.0,0.7215430685645731,1,True,False,False,False,False,False,False,False,False,False
26.0,3,2.47874867294271,3,2.441376148307039,14.17,0.09,2.0,0.18620378163843979,0,True,False,False,False,False,False,True,False,False,True
25.0,3,2.445834632013478,4,4.024953432115115,13.99,0.13,4.0,-0.21034383830684417,0,False,False,False,False,False,False,True,False,False,True
23.0,0,0.25412259263782166,0,2.488883466821281,10.99,0.25,3.0,1.118090688509857,1,True,False,False,True,True,False,False,False,False,False
22.0,3,-0.7970625951503972,1,-1.2008516044515354,5.42,0.12,4.0,-0.3689628862849577,1,True,False,False,False,False,False,False,True,False,False
25.0,1,-0.7971496364373276,2,-1.2404410365467373,13.61,0.11,3.0,-0.7060283632384491,0,False,False,True,False,False,False,False,True,False,True
21.0,1,-0.35310229392739023,3,2.441376148307039,12.73,0.48,3.0,0.8008525925536298,1,False,False,False,True,True,False,False,False,False,False
24.0,0,-0.3731590933300541,3,2.441376148307039,11.01,0.5,3.0,-0.15086169531505156,1,True,False,False,True,False,True,False,False,False,False
25.0,3,-0.7950730800205608,0,-1.0424938760707279,12.87,0.18,4.0,-0.5870640772548639,1,True,False,True,False,False,False,False,False,False,False
24.0,1,-0.7926607929256341,0,-0.939561352623203,9.91,0.22,3.0,-0.8646474112165626,1,True,False,False,False,False,True,False,False,False,False
26.0,4,2.3859502266054005,5,1.649587506403001,11.49,0.07,4.0,0.7413704495618373,0,True,False,False,False,False,True,False,False,False,True
25.0,1,2.3750451967999844,3,3.233164790211077,19.91,0.11,2.0,0.0870668766521188,0,False,False,False,False,False,True,False,False,False,True
26.0,0,2.195217898001891,2,4.024953432115115,10.65,0.14,2.0,0.20603116263570398,1,True,False,False,False,True,False,False,False,False,False
24.0,3,2.375269017252091,0,-0.5674206909283052,11.01,0.02,4.0,-2.4706652719949624,0,True,False,False,True,False,False,True,False,False,True
